12,12,10000
1788,Gould,Ella,F,1713,Matyas,Nathan,M, -1
1695,Walters,Thomas,M,1710,Hsu,Skyler,F, -1
1695,Souza,Nathaniel,M,1850,Gould,Emily,F,1695,Souza,Nathaniel,M
1814,Matyas,Savannah,F,1719,Gould,Jonathan,M,1695,Gould,Xander,M
1760,Wu,Lauren,F,1720,Hao,Stella,F, -1
1695,Souza,Nathaniel,M,1864,Souza,Lily,F,1695,Souza,Nathaniel,M
1725,Nguyen,Jason,M,1743,Walters,Ian,M, -1
1836,Gee,Emily,F,1714,Wu,Hailey,F,1697,Wu,Ryder,M
1747,Gould,Tyler,M,1877,Yun,Christopher,M,1718,Souza,Isabella,F
1722,Gee,Riley,F,1790,Yun,Sydney,F,1700,Anand,Ava,F
1711,Matyas,Eli,M,1793,Gould,Nicholas,M, -1
1740,Nguyen,Elena,F,1717,Walters,Camden,M,1695,Walters,Thomas,M
1695,Matsumura,Austin,M,1851,Souza,Wyatt,M, -1
1850,Walters,Alice,F,1919,Gee,Jonathan,M,1804,Yun,Zoe,F
1697,Wu,Ryder,M,1739,Souza,Jacob,M, -1
1699,Hao,Sebastian,M,1729,Wu,Easton,M, -1
1764,Gould,Ella,F,1736,Hao,Charlie,F, -1
1695,Matsumura,Austin,M,1721,Nguyen,Muhammad,M, -1
1725,Nguyen,Jason,M,1721,Nguyen,Muhammad,M,1699,Nguyen,David,M
1812,Wu,Bella,F,1774,Yun,Reagan,F,1700,Anand,Ava,F
1912,Gould,Vivian,F,1748,Walters,Jasmine,F,1717,Walters,Camden,M
1857,Yun,Hunter,M,1857,Wu,Elliot,M,1754,Souza,Stella,F
1816,Matyas,Adalyn,F,1832,Nguyen,Ava,F,1718,Souza,Isabella,F
1744,Gould,Julia,F,1713,Matyas,Nathan,M, -1
1728,Gee,Peyton,F,1785,Gee,Caleb,M,1700,Anand,Ava,F
1824,Yun,Samantha,F,1729,Wu,Easton,M,1697,Wu,Ryder,M
1720,Hao,Stella,F,1713,Matyas,Nathan,M, -1
