10,15,10000
1770,Crawford,Makayla,F,1764,Liang,Callie,F, -1
1833,Gajan,Austin,M,1834,Walters,Paisley,F,1746,Anand,Lauren,F
1765,Damion,Aaron,M,1809,Gajan,Charlie,M, -1
1788,Trenh,Cora,F,1769,Howell,Jayce,M, -1
1777,Walters,Camden,M,1763,Le,Colin,M, -1
1950,Walters,Kaelyn,F,1743,Liang,Elliot,M, -1
1743,Nguyen,Liam,M,1795,Trenh,Jason,M, -1
1929,Crawford,Miles,M,1765,Damion,Aaron,M,1746,Anand,Lauren,F
1770,Crawford,Makayla,F,1770,Crawford,Makayla,F,1770,Crawford,Makayla,F
1777,Walters,Camden,M,1743,Le,Easton,M, -1
1857,Howell,Camden,M,1810,Damion,Alice,F,1767,Liu,Jonathan,M
1764,Liang,Callie,F,1901,Walters,Xavier,M, -1
1797,Liu,Easton,M,1952,Gajan,Ava,F,1797,Liu,Easton,M
1807,Muhammed,Landon,M,1769,Bloom,Anthony,M, -1
1809,Liu,Elliot,M,1835,Muhammed,Jayden,M,1767,Walters,Jack,M
1770,Crawford,Makayla,F,1825,Muhammed,Charlie,M, -1
1769,Howell,Jayce,M,1762,Walters,Charlie,F, -1
1743,Wong,Jordan,M,1763,Le,Colin,M, -1
1890,Bloom,Scarlett,F,1765,Liu,Jonathan,M,1748,Litvak,Aria,F
1785,Gajan,Connor,M,1788,Trenh,Cora,F, -1
1795,Muhammed,Alex,M,1745,Liu,Alexander,M, -1
1764,Liang,Callie,F,1895,Gajan,Cole,M, -1
1770,Crawford,Makayla,F,1836,Gajan,Annabelle,F,1750,Chan,Elena,F
1749,Trenh,Zachary,M,1881,Muhammed,Isaac,M,1749,Trenh,Zachary,M
1743,Nguyen,Liam,M,1824,Muhammed,Sophie,F, -1
1798,Crawford,Maya,F,1763,Le,Colin,M, -1
1832,Muhammed,Bella,F,1770,Crawford,Makayla,F, -1
1923,Crawford,Nolan,M,1968,Liu,Charlotte,F,1846,Gajan,Isabella,F
1938,Liu,Mackenzie,F,1764,Howell,Hannah,F, -1
1765,Liu,Jonathan,M,1941,Walters,Carter,M,1748,Litvak,Aria,F
1745,Liu,Alexander,M,1764,Liang,Callie,F, -1
1868,Walters,Alaina,F,1763,Le,Colin,M, -1
1745,Liu,Alexander,M,1884,Liu,Caroline,F,1745,Liu,Alexander,M
1763,Le,Colin,M,1777,Walters,Camden,M, -1
1788,Trenh,Cora,F,1764,Liang,Callie,F, -1
1770,Crawford,Makayla,F,1763,Le,Colin,M, -1
1743,Nguyen,Liam,M,1872,Gajan,Madison,F, -1
1810,Damion,Alice,F,1743,Nguyen,Liam,M, -1
1858,Walters,Evelyn,F,1859,Crawford,Brody,M,1768,Damion,Ella,F
1913,Damion,Aiden,M,1762,Damion,London,F,1762,Damion,London,F
1787,Muhammed,Andrew,M,1880,Muhammed,Scarlett,F,1787,Muhammed,Andrew,M
1859,Crawford,Brody,M,1763,Le,Colin,M, -1
1776,Gajan,Jasmine,F,1815,Gajan,Owen,M,1760,Lawu,Cadence,F
1763,Muhammed,Liam,M,1841,Walters,Ryder,M,1763,Muhammed,Liam,M
1765,Liu,Jonathan,M,1809,Liu,Elliot,M,1748,Litvak,Aria,F
