10,15,10000
1776,Lathia,Alexandra,F,1786,Crawford,Caroline,F, -1
1767,Scott,Jason,M,1876,Lathia,Ella,F, -1
1913,Lathia,Leo,M,1741,Lawu,Sean,M,1741,Lawu,Sean,M
1932,Souza,Hannah,F,1784,Chon,Natalie,F,1766,Wu,Adalyn,F
1767,Kwong,Evan,M,1826,Souza,Addison,F, -1
1764,Kaur,Reagan,F,1761,Chan,Isaiah,M, -1
1747,Souza,Noah,M,1787,Scott,Colin,M,1747,Souza,Noah,M
1789,Lathia,Josiah,M,1816,Scott,Brooklyn,F, -1
1745,Lathia,Julian,M,1840,Souza,Hailey,F, -1
1823,Kwong,Leo,M,1793,Lathia,Cameron,M,1747,Kwong,Jackson,M
1938,Scott,London,F,1835,Miyahira,Cameron,M,1790,Lathia,Aria,F
1870,Lathia,Kayla,F,1810,Sytwu,Alexandra,F,1749,Sytwu,Lucas,M
1889,Souza,Adrian,M,1769,Crawford,Mason,M,1743,Crawford,Owen,M
1767,Kwong,Evan,M,1866,Miyahira,Eva,F,1747,Kwong,Jackson,M
1949,Chan,Colin,M,1743,Chan,Luke,M,1743,Chan,Luke,M
1805,Lathia,Benjamin,M,1846,Lathia,Sydney,F,1782,Lawu,Anna,F
1873,Miyahira,Alexander,M,1794,Kwong,Eva,F,1747,Kwong,Jackson,M
1838,Souza,Madelyn,F,1797,Chon,Brody,M,1745,Chon,Xavier,M
1809,Crawford,Colin,M,1745,Li,Grayson,M, -1
1833,Lathia,Lincoln,M,1840,Souza,Kaylee,F,1747,Souza,Noah,M
1850,Miyahira,Lily,F,1791,Chon,James,M, -1
1829,Chan,Jacob,M,1767,Kwong,Evan,M, -1
1824,Chon,Isabella,F,1819,Miyahira,Lucas,M,1747,Souza,Noah,M
1764,Kaur,Reagan,F,1763,Kwong,Nolan,M, -1
1782,Chan,Paisley,F,1764,Kaur,Reagan,F, -1
1747,Lee,Thomas,M,1840,Souza,Kaylee,F, -1
1791,Chon,James,M,1803,Scott,Nolan,M, -1
1743,Crawford,Owen,M,1906,Lathia,London,F,1743,Crawford,Owen,M
1745,Lathia,Julian,M,1769,Lathia,Max,M,1745,Lathia,Julian,M
